Index,CTA,ECTA,ETF,EETF,ETF Sample,EETF Sample,LC CTA,ELC CTA,LC ETF,ELC ETF,LC ETF Sample,ELC ETF Sample,CTA and ETF,LC CTA and ETF,SP500
1/1/2015,0.0149608,0.008016667,0.025121461,0.029316552,0.027663703,0.036671536,0.019049,0.013025,0.021660738,0.011307476,0.015070834,0.018497166,0.026084253,0.023027079,0.053438876
2/1/2015,0.0092859,0.010741667,-0.007629202,-0.010537974,-0.008770574,-0.02091007,0.0069162,0.0075875,-0.00501109,-0.01065812,0.009428249,-0.019051201,-0.007629955,0.00489583,-0.017549197
3/1/2015,-0.020729,-0.014525,-0.000277659,0.012869217,0.013325799,0.023742409,-0.0154009,-0.0029625,0.002803783,0.012464482,0.014562097,0.026072237,0.006566622,0.010390494,0.008484722
4/1/2015,0.0145763,0.005008333,0.003869001,-0.000119638,0.008411817,-0.002695578,0.0158983,0.0064,-0.004865781,-0.000938947,0.000405293,-0.008473491,0.006232852,0.007042419,0.01043673
5/1/2015,-0.0145573,-0.026266667,-0.025529725,-0.01624406,-0.031319898,-0.025394334,-0.0138371,-0.0168875,-0.029769324,-0.009344564,-0.060362252,-0.026876198,-0.033833074,-0.037179874,-0.021235559
6/1/2015,0.0110403,0.015166667,0.005138536,-0.007760324,-0.004641833,-0.016906061,0.0103697,0.0106625,-0.003220139,-0.014149827,-0.026685909,-0.031899717,0.006429909,-0.007143829,0.019549683
7/1/2015,-0.0218735,-0.025583333,-0.058438204,-0.043429949,-0.07085707,-0.049165697,-0.0244377,-0.0274875,-0.055875869,-0.023358231,-0.071222412,-0.04272299,-0.058082479,-0.051572919,-0.064624731
8/1/2015,-0.0163683,0.010658333,-0.02600155,-0.026355344,-0.02272195,-0.026326797,-0.0181346,0.006725,-0.010477043,-0.012057779,-0.01459082,-0.013488338,-0.017718775,-0.021845189,-0.026798731
9/1/2015,-0.0095445,-0.008108333,0.05153057,0.042613371,0.07026959,0.057186868,-0.0088017,-0.0053875,0.027944098,0.009789185,0.06299464,0.027042334,0.050879834,0.038731583,0.079719379
10/1/2015,0.0213044,0.02635,0.000157217,-0.00847998,-0.00307161,-0.022754369,0.0219491,0.0238625,-0.003308502,-0.022704151,0.012357624,-0.044325354,0.006849766,0.01026742,0.000504742
11/1/2015,-0.0221007,-0.022225,-0.014745375,-0.020141125,-0.012226088,-0.019788592,-0.018669,-0.020175,-0.00503454,-0.010441814,-0.005085725,-0.007462229,-0.015332457,-0.009777288,-0.017685659
12/1/2015,0.0140998,0.028525,-0.044198337,-0.041510709,-0.046422049,-0.04030337,0.0138206,0.0271,-0.017639267,-0.021409558,-0.050472461,-0.032479802,-0.028012807,-0.017912096,-0.052067617
1/1/2016,-0.0051467,0.013158333,0.002127766,0.001215761,0.002252699,0.000385633,-0.01002,0.0070875,-0.003158373,-0.009372536,-0.024297544,-0.031376444,-0.000393716,-0.005514373,-0.004136906
2/1/2016,-0.0061424,-0.020508333,0.046173351,0.052375181,0.064313608,0.06389988,-0.0040388,-0.012525,0.024999594,0.027218267,0.063169528,0.063133494,0.042799951,0.030978558,0.06390499
